Sid,Recipient,Cash ($),Total Assets ($),Total Liabilities ($),Total Revenue ($),Total Expenses ($),Operating Revenue,Non Operating Revenue,Current Assets
9,KAKM,1859058,9157959,9157959,7888528,7711974,7888528,,3176908
6,WJAB,261656,501299,501299,1445184,1377870,1445184,,261656
5,WVAS,,,,,,,,
7,WTSU,,,,,,,,
8,WUAL,,,,,,,,
11,KSKA,1859058,9157959,2058397,7888528,7711974,7888528,,23709078
16,KRFF,,,,,,,,
13,KYUK,1859058,9157959,2058397,7888528,7711974,7888528,,23709078
19,KZPA,,,,,,,,
21,KHNS,,,,,,,,
14,KCUK,,,,,,,,3176908
27,KMXT,,,,,,,,
29,KSKO,,,,,,,,
10,KNBA,256654,8873114,1922736,4089828,3825747,4089828,,3327139
31,KSDP,,,,,,,,
15,KDLG,808695,852149,483823,555606,573311,555606,,843052
37,KCHU,,,,,,,,
39,KVZK,,,,,,,,
18,KUAC-TV,4365047,5623464,1772869,3644180,3796141,3644180,45006,4376134
42,Native Public Media,,,,,,,,
22,KBBI,492977,1087890,106107,561680,682157,561680,,578161
51,KNNB,,,,,,,,
25,KDLL,246678,612516,75651,482469,404246,482469,,273856
54,Arkansas PBS Foundation,,,,,,,,
56,Hot Springs Documentary Film Institute,,,,,,,,
59,KHSU,,,,,,,,
61,Latino Public Broadcasting,,,,,,,,
23,KTOO-FM,1900784,4245159,1543128,4733245,5113967,4733245,,2326008
67,KSJV,,,,,,,,
26,KRBD,1900784,4245159,1543128,4733245,5113967,4733245,,2326008
69,KIDE,,,,,,,,
70,Shoe Ink LLC,,,,,,,,
71,KXRN,,,,,,,,
75,KVMR,,,,,,,,
32,KCAW,1900784,4245159,1543128,4733245,5113967,4733245,,2326008
28,KOTZ,705999,1100072,344706,583103,689950,583103,,725033
33,KUHB,1099332,7251486,1010163,2132850,2361754,2132850,,3035691
38,KSTK,1900784,4245159,1543128,4733245,5113967,4733245,,2326008
90,Center for Asian American Media,,,,,,,,
91,Independent Television Service Inc.,,,,,,,,
41,KNAU,1007478,4222420,4349275,2163851,2527069,2163851,586413,3844600
49,KUAZ,46368376,65118806,5859637,15854666,12665448,1023428,14831238,48767879
100,SmithGeiger LLC,,,,,,,,
44,KAET,7915146,14527617,2979848,22066278,20230608,4488016,17578262,8360324
104,Pacey Economics Inc.,,,,,,,,
107,KCME,,,,,,,,
46,KJZZ,1884427,3608326,352997,11440025,11303460,2772260,8345279,2328931
110,KBUT,,,,,,,,
47,KGHR,977773,1253228,310385,303712,277720,303712,,977773
115,KRFC,,,,,,,,
118,KSUT,,,,,,,,
