SID,State,City,Recipient,Type,Document,Affiliation,Lat,Long,Population,Density,AFS
2,Alabama,Birmingham,Alabama Public Television,TV,AFR_T,PBS,33.5279,-86.7971,778756,523.3,y
3,Alabama,Birmingham,WBHM,Radio,AFR_R,NPR,33.5279,-86.7971,778756,523.3,y
4,Alabama,Huntsville,WLRH,Radio,AFR_R,NPR,34.6981,-86.6412,359389,377.8,y
5,Alabama,Montgomery,WVAS,Radio,,NPR,32.3482,-86.2668,251545,479.3,
6,Alabama,Normal,WJAB,Radio,AFS,NPR,34.7869,-86.5719,252286,,y
7,Alabama,Troy,WTSU,Radio,,NPR,31.8021,-85.9664,17733,241.6,
8,Alabama,Tuscaloosa,WUAL,Radio,AFR_R,NPR,33.2348,-87.5268,166253,669.1,
9,Alaska,Anchorage,KAKM,TV,AFR_T,PBS,61.1508,-149.1091,289069,65.4,y
10,Alaska,Anchorage,KNBA,Radio,AFR_R,NPR,61.1508,-149.1091,289069,65.4,y
11,Alaska,Anchorage,KSKA,Radio,AFR_R,NPR,61.1508,-149.1091,289069,65.4,y
12,Alaska,Barrow,KBRW,Radio,AFR_R,NPR,71.2906,-156.7886,10891,,y
13,Alaska,Bethel,KYUK,Radio,AFR_R,NPR,60.7928,-161.7917,6313,54.8,y
14,Alaska,Chevak,KCUK,Radio,,NPR,61.5295,-165.5941,464,156.7,
15,Alaska,Dillingham,KDLG,Radio,AFR_R,NPR,59.055,-158.5378,2084,24.1,y
16,Alaska,Fairbanks,KRFF,Radio,,Other,64.8353,-147.6533,71555,392.1,
17,Alaska,Fairbanks,KUAC-FM,Radio,AFR_R,NPR,64.8353,-147.6533,71555,392.1,y
18,Alaska,Fairbanks,KUAC-TV,TV,AFR_T,PBS,64.8353,-147.6533,71555,392.1,y
19,Alaska,Ft. Yukon,KZPA,Radio,,NPR,66.5675,-145.2564,583,,
20,Alaska,Galena,KIYU,Radio,AFS,NPR,64.7381,-156.8635,565,12.4,y
21,Alaska,Haines,KHNS,Radio,,NPR,59.2416,-135.4549,1781,51.9,
22,Alaska,Homer,KBBI,Radio,AFR_R,NPR,59.653,-151.5255,5750,161,y
23,Alaska,Juneau,KTOO-FM,Radio,AFR_R,NPR,58.4546,-134.1739,31969,4.6,y
24,Alaska,Juneau,KTOO-TV,TV,AFR_T,PBS,58.4546,-134.1739,31969,4.6,y
25,Alaska,Kenai,KDLL,Radio,FSR,NPR,60.5619,-151.1985,7562,100.2,y
26,Alaska,Ketchikan,KRBD,Radio,,NPR,55.3556,-131.6698,8151,824.9,y
27,Alaska,Kodiak,KMXT,Radio,,NPR,57.7934,-152.4059,5497,540.1,
28,Alaska,Kotzebue,KOTZ,Radio,,NPR,66.8766,-162.5231,3046,47.5,y
29,Alaska,Mcgrath,KSKO,Radio,,NPR,62.9424,-155.563,195,1.8,
30,Alaska,Petersburg,KFSK,Radio,,NPR,57.4212,-133.3231,0,0,y
31,Alaska,Sand Point,KSDP,Radio,FSR,NPR,55.3227,-160.4834,1146,55.2,
32,Alaska,Sitka,KCAW,Radio,AFS,NPR,57.2401,-135.3152,8393,1.1,y
33,Alaska,St. Paul,KUHB,Radio,FSR,NPR,57.1815,-170.2743,362,3.3,y
34,Alaska,Talkeetna,KTNA,Radio,FSR,NPR,62.2994,-149.9601,997,4.1,y
35,Alaska,Unalakleet,KNSA,Radio,FSR,NPR,63.8924,-160.7861,800,107.9,y
36,Alaska,Unalaska,KUCB,Radio,FSR,NPR,53.8984,-166.568,4430,16.7,y
37,Alaska,Valdez,KCHU,Radio,,NPR,61.0963,-146.2596,3911,7.1,
38,Alaska,Wrangell,KSTK,Radio,,NPR,56.3317,-132.0223,2106,1.2,y
39,American Samoa,Pago Pago,KVZK,TV,,PBS,-14.2739,-170.7044,3000,,
40,Arizona,Covered Wells,KOHN,Radio,AFR_R,Other,32.1667,-112.1257,,,y
41,Arizona,Flagstaff,KNAU,Radio,AFR_R,NPR,35.1872,-111.6194,77868,446.5,y
42,Arizona,Flagstaff,Native Public Media,Other,,Other,35.1872,-111.6194,77868,446.5,
43,Arizona,Kykotsmovi,KUYI,Radio,FSR,NPR,35.8576,-110.6338,758,17.3,y
44,Arizona,Phoenix,KAET,TV,AFR_T,PBS,33.5722,-112.0892,4065338,1210.3,y
45,Arizona,Tempe,KBAQ,Radio,AFR_R,NPR,33.3881,-111.9319,186419,1800.3,y
46,Arizona,Tempe,KJZZ,Radio,AFR_R,NPR,33.3881,-111.9319,186419,1800.3,y
47,Arizona,Tuba City,KGHR,Radio,FSR,Other,36.125,-111.2467,8265,356.6,y
48,Arizona,Tucson,KUAT,TV,AFR_T,NPR,32.1541,-110.8787,879871,866.2,y
49,Arizona,Tucson,KUAZ,Radio,AFR_R,NPR,32.1541,-110.8787,879871,866.2,y
50,Arizona,Tucson,KXCI,Radio,AFS,Other,32.1541,-110.8787,879871,866.2,y
51,Arizona,Whiteriver,KNNB,Radio,,NPR,33.8358,-109.9616,4308,106,
52,Arizona,Yuma,KAWC,Radio,AFR_R,NPR,32.5995,-114.5491,144509,314.1,y
53,Arkansas,Conway,Arkansas Educational Television Network,TV,AFR_T,PBS,35.0753,-92.4692,69918,548.9,y
54,Arkansas,Conway,Arkansas PBS Foundation,Other,,PBS,35.0753,-92.4692,69918,548.9,
55,Arkansas,Fayetteville,KUAF,Radio,,NPR,36.0714,-94.1661,405556,685.6,y
56,Arkansas,Hot Springs,Hot Springs Documentary Film Institute,Other,,Other,34.4892,-93.0501,38023,390.8,
57,Arkansas,Little Rock,KUAR,Radio,AFR_R,NPR,34.7256,-92.3577,467846,650.8,y
58,Arkansas,State University,KASU,Radio,AFR_R,NPR,35.8111,-90.6791,80655,381.3,y
59,California,Arcata,KHSU,Radio,,NPR,40.8615,-124.0758,18578,761.8,
60,California,Burbank,KCET,TV,AFR_T,PBS,34.1879,-118.3235,105165,2344.9,y
61,California,Burbank,Latino Public Broadcasting,Other,,Other,34.1879,-118.3235,105165,2344.9,
62,California,Chico,KCHO,Radio,,NPR,39.7578,-121.8161,109411,1141.2,y
63,California,Chico,KZFR,Radio,FSR,Other,39.7578,-121.8161,109411,1141.2,y
64,California,Clovis,KVPR,Radio,AFR_R,NPR,36.8278,-119.683,122719,1832.8,y
65,California,Costa Mesa,KOCE,TV,,PBS,33.6667,-117.9135,110538,2700.2,y
66,California,Eureka,KEET,TV,AFR_T,PBS,40.7943,-124.1564,26302,1061.5,y
67,California,Fresno,KSJV,Radio,,Other,36.783,-119.7939,724547,1812.2,
68,California,Fresno,KVPT,TV,AFR_T,PBS,36.783,-119.7939,724547,1812.2,y
69,California,Hoopa,KIDE,Radio,,Other,41.0803,-123.6972,2274,43,
70,California,Irvine,"Shoe Ink, LLC",Other,,Other,33.6772,-117.7738,308160,1813.4,
71,California,Laguna Beach,KXRN,Radio,,Other,33.5455,-117.7613,22777,988.7,
72,California,Long Beach,KKJZ,Radio,AFR_R,NPR,33.7977,-118.167,458491,3493.5,y
73,California,Los Angeles,KLCS,TV,AFR_T,PBS,34.1141,-118.4068,11885717,3165.8,y
74,California,Los Angeles,KUSC,Radio,AFR_R,NPR,34.1141,-118.4068,11885717,3165.8,y
75,California,Nevada City,KVMR,Radio,,Other,39.2607,-121.0231,3168,544.5,
76,California,Northridge,KCSN,Radio,AFS,NPR,34.2281,-118.5358,61993,,y
77,California,Pasadena,KPCC,Radio,AFR_R,NPR,34.1597,-118.139,136462,2294.8,y
78,California,Philo,KZYX,Radio,AFS,NPR,39.0657,-123.445,41,7.7,y
79,California,Point Reyes Station,KWMR,Radio,AFR_R,Other,38.0847,-122.8093,465,49.7,y
80,California,Redding,KIXE,TV,AFS,PBS,40.5698,-122.365,120849,605.5,y
81,California,Redway,KMUD,Radio,AFR_R,Other,40.1208,-123.822,1276,393.9,y
82,California,Rohnert Park,KRCB-FM,Radio,FSR,NPR,38.3479,-122.6965,44461,2356.1,y
83,California,Rohnert Park,KRCB-TV,TV,AFR_T,PBS,38.3479,-122.6965,44461,2356.1,y
84,California,Sacramento,KVIE,TV,AFR_T,PBS,38.5677,-121.4685,1962998,2054.1,y
85,California,Sacramento,KXJZ,Radio,AFS,NPR,38.5677,-121.4685,1962998,2054.1,y
86,California,Sacramento,KXPR,Radio,AFS,NPR,38.5677,-121.4685,1962998,2054.1,y
87,California,San Bernardino,KVCR,TV,AFR_T,NPR,34.1416,-117.2943,221774,1378.9,y
88,California,San Diego,KPBS,TV,AFR_T,NPR,32.8313,-117.1222,3057778,1640,y
89,California,San Diego,KSDS,Radio,AFR_R,NPR,32.8313,-117.1222,3057778,1640,y
90,California,San Francisco,Center for Asian American Media,Other,,Other,37.7558,-122.4449,3364862,6914.5,
91,California,San Francisco,"Independent Television Service, Inc.",Other,,Other,37.7558,-122.4449,3364862,6914.5,
92,California,San Francisco,KALW,Radio,AFR_R,NPR,37.7558,-122.4449,3364862,6914.5,y
93,California,San Francisco,KQED-FM,Radio,AFR_R,NPR,37.7558,-122.4449,3364862,6914.5,y
94,California,San Francisco,KQED-TV,TV,AFR_T,PBS,37.7558,-122.4449,3364862,6914.5,y
95,California,San Luis Obispo,KCBX,Radio,AFS,NPR,35.2669,-120.669,48039,1377.1,y
96,California,San Mateo,KCSM,Radio,,NPR,37.5522,-122.3121,103555,3295.1,y
97,California,Santa Monica,KCRW,Radio,AFR_R,NPR,34.0235,-118.481,91535,4202.9,y
98,California,Seaside,KAZU,Radio,AFR_R,NPR,36.6224,-121.8199,118398,1383,y
99,California,Thousand Oaks,KCLU,Radio,AFR_R,NPR,34.1914,-118.8756,208302,878.1,y
100,California,Westlake Village,SmithGeiger LLC,Other,,Other,34.1369,-118.822,7829,582.7,
101,Colorado,Alamosa,KRZA,Radio,AFS,NPR,37.4752,-105.877,9847,477.4,y
102,Colorado,Aspen,KAJX,Radio,AFR_R,NPR,39.1951,-106.8369,6862,685.9,y
103,Colorado,Boulder,KGNU,Radio,AFR_R,Other,40.0248,-105.2524,120121,1525.7,y
104,Colorado,Boulder,"Pacey Economics, Inc.",Other,,Other,40.0248,-105.2524,120121,1525.7,
105,Colorado,Carbondale,KDNK,Radio,AFR_R,NPR,37.7221,-89.2237,21813,481.8,y
106,Colorado,Centennial,KVOD,Radio,AFR_R,NPR,39.5926,-104.8673,107386,1374.9,y
107,Colorado,Colorado Springs,KCME,Radio,AFR_R,NPR,38.8674,-104.7605,638421,924,y
108,Colorado,Colorado Springs,KRCC,Radio,AFR_R,NPR,38.8674,-104.7605,638421,924,y
109,Colorado,Cortez,KSJD,Radio,,NPR,37.3503,-108.5768,8898,551.5,y
110,Colorado,Crested Butte,KBUT,Radio,,NPR,38.8676,-106.9773,1436,639.8,
111,Colorado,Denver,KBDI,TV,AFR_T,PBS,39.762,-104.8758,2691349,1800.3,y
112,Colorado,Denver,KRMA,TV,AFR_T,PBS,39.762,-104.8758,2691349,1800.3,y
113,Colorado,Denver,KUVO,Radio,AFR_R,NPR,39.762,-104.8758,2691349,1800.3,y
114,Colorado,Durango,KDUR,Radio,,Other,37.2659,-107.8781,19257,504.3,y
115,Colorado,Fort Collins,KRFC,Radio,AFS,Other,40.5477,-105.0656,339256,1144.8,
116,Colorado,Grand Junction,KAFM,Radio,AFS,Other,39.0877,-108.5673,141008,637.1,y
117,Colorado,Greeley,KUNC,Radio,AFR_R,NPR,40.4152,-104.7706,143554,854.6,y
118,Colorado,Ignacio,KSUT,Radio,,NPR,37.118,-107.6376,1255,946.9,
119,Colorado,Lakewood,Paragon Media Strategies LLC,Other,,Other,39.6977,-105.1172,156309,1388.7,
