ID,Entity,Town,State,Year,Amount ($),Type
676,Alabama Educational Television Commission,Birmingham,Alabama,2020,32379,Other System Support
677,Alabama Educational Television Commission,Birmingham,Alabama,2020,88000,Ready To Learn
678,WBHM,Birmingham,Alabama,2020,510519,Other System Support
679,WBHM,Birmingham,Alabama,2020,152798,Radio Community Service Grant
680,WBHM,Birmingham,Alabama,2020,75000,Radio Fiscal Stabilization Grant
681,WBHM,Birmingham,Alabama,2020,382890,Radio Programming
682,WLRH,Huntsville,Alabama,2020,75000,Radio Fiscal Stabilization Grant
683,WVAS,Montgomery,Alabama,2020,118300,Radio Community Service Grant
684,WVAS,Montgomery,Alabama,2020,112136,Radio Fiscal Stabilization Grant
685,WTSU,Troy,Alabama,2020,107420,Radio Community Service Grant
686,WTSU,Troy,Alabama,2020,75000,Radio Fiscal Stabilization Grant
687,WUAL,Tuscaloosa,Alabama,2020,147528,Radio Community Service Grant
688,"Alaska Public Broadcasting, Inc.",Anchorage,Alaska,2020,10000,Other System Support
689,KAKM,Anchorage,Alaska,2020,13162,Other System Support
690,KAKM,Anchorage,Alaska,2020,260205,Television Fiscal Stabilization Grant
691,KNBA,Anchorage,Alaska,2020,263460,Radio Community Service Grant
692,KNBA,Anchorage,Alaska,2020,112136,Radio Fiscal Stabilization Grant
693,KSKA,Anchorage,Alaska,2020,112136,Radio Fiscal Stabilization Grant
694,KBRW,Barrow,Alaska,2020,203714,Radio Community Service Grant
695,KBRW,Barrow,Alaska,2020,112136,Radio Fiscal Stabilization Grant
696,KYUK,Bethel,Alaska,2020,768963,Television Community Service Grant
697,KYUK,Bethel,Alaska,2020,260205,Television Fiscal Stabilization Grant
698,KCUK,Chevak,Alaska,2020,3000,Other System Support
699,KDLG,Dillingham,Alaska,2020,192390,Radio Community Service Grant
700,KDLG,Dillingham,Alaska,2020,112136,Radio Fiscal Stabilization Grant
701,KRFF,Fairbanks,Alaska,2020,143499,Radio Community Service Grant
702,KUAC,Fairbanks,Alaska,2020,183959,Radio Community Service Grant
703,KUAC,Fairbanks,Alaska,2020,112136,Radio Fiscal Stabilization Grant
704,KUAC,Fairbanks,Alaska,2020,826787,Television Community Service Grant
705,KIYU,Galena,Alaska,2020,185030,Radio Community Service Grant
706,KIYU,Galena,Alaska,2020,112136,Radio Fiscal Stabilization Grant
707,KHNS,Haines,Alaska,2020,118636,Radio Community Service Grant
708,KBBI,Homer,Alaska,2020,112136,Radio Fiscal Stabilization Grant
709,KTOO,Juneau,Alaska,2020,12125,Other System Support
710,KTOO,Juneau,Alaska,2020,151521,Radio Community Service Grant
711,KTOO,Juneau,Alaska,2020,260205,Television Fiscal Stabilization Grant
712,KDLL,Kenai,Alaska,2020,95673,Radio Community Service Grant
713,KDLL,Kenai,Alaska,2020,112136,Radio Fiscal Stabilization Grant
714,KMXT,Kodiak,Alaska,2020,118435,Radio Community Service Grant
715,KMXT,Kodiak,Alaska,2020,112136,Radio Fiscal Stabilization Grant
716,KOTZ,Kotzebue,Alaska,2020,183318,Radio Community Service Grant
717,KOTZ,Kotzebue,Alaska,2020,112136,Radio Fiscal Stabilization Grant
718,KFSK,Petersburg,Alaska,2020,121205,Radio Community Service Grant
719,KFSK,Petersburg,Alaska,2020,112136,Radio Fiscal Stabilization Grant
720,KSDP,Sand Point,Alaska,2020,185030,Radio Community Service Grant
721,KCAW,Sitka,Alaska,2020,112136,Radio Fiscal Stabilization Grant
722,KUHB,St. Paul,Alaska,2020,185030,Radio Community Service Grant
723,KUHB,St. Paul,Alaska,2020,112136,Radio Fiscal Stabilization Grant
724,KNSA,Unalakleet,Alaska,2020,185030,Radio Community Service Grant
725,KNSA,Unalakleet,Alaska,2020,112136,Radio Fiscal Stabilization Grant
726,KUCB,Unalaska,Alaska,2020,185030,Radio Community Service Grant
727,KSTK,Wrangell,Alaska,2020,110643,Radio Community Service Grant
728,KSTK,Wrangell,Alaska,2020,112136,Radio Fiscal Stabilization Grant
729,KOHN,Covered Wells,Arizona,2020,112136,Radio Fiscal Stabilization Grant
730,KNAU,Flagstaff,Arizona,2020,242053,Radio Community Service Grant
731,KNAU,Flagstaff,Arizona,2020,112136,Radio Fiscal Stabilization Grant
732,KAET,Phoenix,Arizona,2020,35938,Other System Support
733,KAET,Phoenix,Arizona,2020,88000,Ready To Learn
734,KAET,Phoenix,Arizona,2020,1860236,Television Community Service Grant
735,KBAQ,Tempe,Arizona,2020,75000,Radio Fiscal Stabilization Grant
736,KJZZ,Tempe,Arizona,2020,589288,Radio Community Service Grant
737,KJZZ,Tempe,Arizona,2020,75000,Radio Fiscal Stabilization Grant
738,KUAT,Tucscon,Arizona,2020,22249,Other System Support
739,KUAT,Tucscon,Arizona,2020,1167172,Television Community Service Grant
740,KUAT,Tucscon,Arizona,2020,200000,Television Fiscal Stabilization Grant
741,KUAZ,Tucson,Arizona,2020,365425,Radio Community Service Grant
742,KXCI,Tucson,Arizona,2020,75000,Radio Fiscal Stabilization Grant
743,KNNB,Whiteriver,Arizona,2020,143499,Radio Community Service Grant
744,KNNB,Whiteriver,Arizona,2020,112136,Radio Fiscal Stabilization Grant
745,Arkansas Educational Television Commission,Conway,Arkansas,2020,35648,Other System Support
746,Arkansas Educational Television Commission,Conway,Arkansas,2020,2011471,Television Community Service Grant
747,Arkansas Educational Television Commission,Conway,Arkansas,2020,260205,Television Fiscal Stabilization Grant
748,KUAR,Little Rock,Arkansas,2020,121928,Radio Community Service Grant
749,KUAR,Little Rock,Arkansas,2020,75000,Radio Fiscal Stabilization Grant
750,KASU,State University,Arkansas,2020,135533,Radio Community Service Grant
751,KHSU,Arcata,California,2020,178571,Radio Community Service Grant
752,Latino Public Broadcasting,Burbank,California,2020,572048,Other System Support
753,Latino Public Broadcasting,Burbank,California,2020,786543,Television Programming
754,KCHO,Chico,California,2020,189012,Radio Community Service Grant
755,KZFR,Chico,California,2020,112136,Radio Fiscal Stabilization Grant
756,KOCE,Costa Mesa,California,2020,75056,Ready To Learn
757,KEET,Eureka,California,2020,10967,Other System Support
758,KSJV,Fresno,California,2020,229056,Radio Community Service Grant
759,KSJV,Fresno,California,2020,112136,Radio Fiscal Stabilization Grant
760,KVPR,Fresno,California,2020,169583,Radio Community Service Grant
761,KVPT,Fresno,California,2020,200000,Television Fiscal Stabilization Grant
762,KIDE,Hoopa,California,2020,143499,Radio Community Service Grant
763,KIDE,Hoopa,California,2020,112136,Radio Fiscal Stabilization Grant
764,KXRN,Laguna Beach,California,2020,112136,Radio Fiscal Stabilization Grant
765,KKJZ,Long Beach,California,2020,106748,Radio Community Service Grant
766,KKJZ,Long Beach,California,2020,75000,Radio Fiscal Stabilization Grant
767,KLCS,Los Angeles,California,2020,13115,Other System Support
768,KLCS,Los Angeles,California,2020,21676,Ready To Learn
769,KLCS,Los Angeles,California,2020,675783,Television Community Service Grant
770,KLCS,Los Angeles,California,2020,200000,Television Fiscal Stabilization Grant
771,KUSC,Los Angeles,California,2020,75000,Radio Fiscal Stabilization Grant
772,National Association of Latino Independent Producers,Los Angeles,California,2020,12500,Other System Support
773,KVMR,Nevada City,California,2020,174132,Radio Community Service Grant
774,KVMR,Nevada City,California,2020,112136,Radio Fiscal Stabilization Grant
775,KPCC,Pasadena,California,2020,75000,Radio Fiscal Stabilization Grant
776,KZYX,Philo,California,2020,120312,Radio Community Service Grant
777,KZYX,Philo,California,2020,112136,Radio Fiscal Stabilization Grant
778,KWMR,Point Reyes Station,California,2020,116501,Radio Community Service Grant
779,KIXE,Redding,California,2020,11941,Other System Support
780,KIXE,Redding,California,2020,750021,Television Community Service Grant
781,KIXE,Redding,California,2020,260205,Television Fiscal Stabilization Grant
782,KMUD,Redway,California,2020,114888,Radio Community Service Grant
783,KRCB,Rohnert Park,California,2020,24534,Other System Support
784,KRCB,Rohnert Park,California,2020,72313,Radio Community Service Grant
785,KRCB,Rohnert Park,California,2020,112136,Radio Fiscal Stabilization Grant
786,KRCB,Rohnert Park,California,2020,375557,Television Community Service Grant
787,"Capital Public Radio, Inc.",Sacramento,California,2020,558100,Other System Support
788,KVIE,Sacramento,California,2020,32612,Other System Support
789,KVIE,Sacramento,California,2020,1688659,Television Community Service Grant
790,KVIE,Sacramento,California,2020,200000,Television Fiscal Stabilization Grant
791,KXJZ,Sacramento,California,2020,469139,Radio Community Service Grant
792,KXPR,Sacramento,California,2020,250717,Radio Community Service Grant
793,KXPR,Sacramento,California,2020,75000,Radio Fiscal Stabilization Grant
794,KVCR,San Bernardino,California,2020,12481,Other System Support
795,KVCR,San Bernardino,California,2020,644814,Television Community Service Grant
796,KPBS,San Diego,California,2020,51062,Other System Support
797,KPBS,San Diego,California,2020,592636,Radio Community Service Grant
798,KPBS,San Diego,California,2020,75000,Radio Fiscal Stabilization Grant
799,KPBS,San Diego,California,2020,2632191,Television Community Service Grant
800,KSDS,San Diego,California,2020,139819,Radio Community Service Grant
801,KSDS,San Diego,California,2020,75000,Radio Fiscal Stabilization Grant
802,Center for Asian American Media,San Francisco,California,2020,546201,Other System Support
803,Center for Asian American Media,San Francisco,California,2020,812390,Television Programming
804,"Independent Television Service, Inc.",San Francisco,California,2020,2200000,Other System Support
805,KALW,San Francisco,California,2020,223457,Radio Community Service Grant
806,KALW,San Francisco,California,2020,75000,Radio Fiscal Stabilization Grant
807,KQED,San Francisco,California,2020,85117,Other System Support
808,KQED,San Francisco,California,2020,2132470,Radio Community Service Grant
809,KQED,San Francisco,California,2020,4384200,Television Community Service Grant
810,KQED,San Francisco,California,2020,200000,Television Fiscal Stabilization Grant
811,KQED,San Francisco,California,2020,374782,Television Programming
812,KCBX,San Luis Obispo,California,2020,169644,Radio Community Service Grant
813,KCBX,San Luis Obispo,California,2020,112136,Radio Fiscal Stabilization Grant
814,KCSM,San Mateo,California,2020,75000,Radio Fiscal Stabilization Grant
815,KCRW,Santa Monica,California,2020,1225823,Radio Community Service Grant
816,KCRW,Santa Monica,California,2020,75000,Radio Fiscal Stabilization Grant
817,KAZU,Seaside,California,2020,164727,Radio Community Service Grant
818,KCLU,Thousand Oaks,California,2020,153851,Radio Community Service Grant
819,KCLU,Thousand Oaks,California,2020,75000,Radio Fiscal Stabilization Grant
820,KRZA,Alamosa,Colorado,2020,152178,Radio Community Service Grant
821,KAJX,Aspen,Colorado,2020,161892,Radio Community Service Grant
822,KAJX,Aspen,Colorado,2020,112136,Radio Fiscal Stabilization Grant
823,KGNU,Boulder,Colorado,2020,106144,Radio Community Service Grant
824,KGNU,Boulder,Colorado,2020,75000,Radio Fiscal Stabilization Grant
825,KDNK,Carbondale,Colorado,2020,122908,Radio Community Service Grant
826,KDNK,Carbondale,Colorado,2020,112136,Radio Fiscal Stabilization Grant
827,KVOD,Centennial,Colorado,2020,439818,Other System Support
828,KVOD,Centennial,Colorado,2020,1036547,Radio Community Service Grant
829,KCME,Colorado Springs,Colorado,2020,104650,Radio Community Service Grant
830,KCME,Colorado Springs,Colorado,2020,75000,Radio Fiscal Stabilization Grant
831,KRCC,Colorado Springs,Colorado,2020,152862,Radio Community Service Grant
832,KRCC,Colorado Springs,Colorado,2020,75000,Radio Fiscal Stabilization Grant
833,KSJD,Cortez,Colorado,2020,112136,Radio Fiscal Stabilization Grant
834,KBUT,Crested Butte,Colorado,2020,116653,Radio Community Service Grant
835,KBUT,Crested Butte,Colorado,2020,112136,Radio Fiscal Stabilization Grant
836,KBDI,Denver,Colorado,2020,9535,Other System Support
837,KBDI,Denver,Colorado,2020,504437,Television Community Service Grant
838,KRMA,Denver,Colorado,2020,32960,Other System Support
839,KRMA,Denver,Colorado,2020,1861067,Television Community Service Grant
840,KRMA,Denver,Colorado,2020,200000,Television Fiscal Stabilization Grant
841,KUVO,Denver,Colorado,2020,123726,Radio Community Service Grant
842,KUVO,Denver,Colorado,2020,150000,Radio Programming
843,KDUR,Durango,Colorado,2020,114344,Radio Community Service Grant
844,KDUR,Durango,Colorado,2020,112136,Radio Fiscal Stabilization Grant
845,KRFC,Fort Collins,Colorado,2020,72313,Radio Community Service Grant
846,KAFM,Grand Junction,Colorado,2020,72313,Radio Community Service Grant
847,KAFM,Grand Junction,Colorado,2020,112136,Radio Fiscal Stabilization Grant
848,KUNC,Greeley,Colorado,2020,283825,Radio Community Service Grant
849,KUNC,Greeley,Colorado,2020,75000,Radio Fiscal Stabilization Grant
850,KSUT,Ignacio,Colorado,2020,394165,Radio Community Service Grant
851,KVNF,Paonia,Colorado,2020,117925,Radio Community Service Grant
852,KVNF,Paonia,Colorado,2020,112136,Radio Fiscal Stabilization Grant
853,"National Federation of Community Broadcasters, Inc.",Paonia,Colorado,2020,349634,Other System Support
854,KOTO,Telluride,Colorado,2020,114005,Radio Community Service Grant
855,WSHU,Fairfield,Connecticut,2020,288759,Radio Community Service Grant
856,WSHU,Fairfield,Connecticut,2020,75000,Radio Fiscal Stabilization Grant
857,"Connecticut Public Broadcasting, Inc.",Hartford,Connecticut,2020,430850,Other System Support
858,"Connecticut Public Broadcasting, Inc.",Hartford,Connecticut,2020,401091,Radio Community Service Grant
859,"Connecticut Public Broadcasting, Inc.",Hartford,Connecticut,2020,1628311,Television Community Service Grant
860,"Connecticut Public Broadcasting, Inc.",Hartford,Connecticut,2020,200000,Television Fiscal Stabilization Grant
861,WMNR,Monroe,Connecticut,2020,84322,Radio Community Service Grant
862,WMNR,Monroe,Connecticut,2020,75000,Radio Fiscal Stabilization Grant
863,WHDD,Sharon,Connecticut,2020,112136,Radio Fiscal Stabilization Grant
864,WDDE,Dover,Delaware,2020,75000,Radio Fiscal Stabilization Grant
865,"Civic Enterprises, LLC",Washington,District of Columbia,2020,63800,Other System Support
866,FrameWorks Institute,Washington,District of Columbia,2020,5048,Other System Support
867,National Hispanic Foundation for the Arts,Washington,District of Columbia,2020,10000,Other System Support
868,National Public Radio,Washington,District of Columbia,2020,2500000,Radio Programming
869,WAMU,Washington,District of Columbia,2020,75000,Radio Fiscal Stabilization Grant
870,WHUT,Washington,District of Columbia,2020,19723,Other System Support
871,WHUT,Washington,District of Columbia,2020,88000,Ready To Learn
872,WHUT,Washington,District of Columbia,2020,1024602,Television Community Service Grant
